term,meaning,type,latin,native,language
bab,target,o,,,
baCak,vulgar,m,baḏāʾa,بَذَاءَة,arabic
baCmol,cotton,o,,baðmull,icelandic
bad,body,o,,,english
badad,alone,m,badád,בָּדָד,hebrew
badak,check,o,badák,בָּדַק,hebrew
badat,press (force),o,bā́dhati,बाधति,sanskrit
badkan,prank,o,badkhan,בַּדְחָן,hebrew
badoq,swing,a,bǎi dòng,摆动,chinese
badram,fortunate,m,bhadrá,भद्र,sanskrit
bafol,baffle,a,,,english
bagil,prostitute,a,baḡiyy,بَغِيّ,arabic
bagyam,fate,o,,भाग्य,sanskrit
bahac,quest,o,baḥṯ,بَحْث,arabic
bahal,own,m,ba'al,בַּעַל,hebrew
bahum,abundant,m,bahú,बहु,sanskrit
baj,by,m,,,english
bak,possess,a,,,
bakak,hatch (egg),o,baqáʿ,בָּקַע,hebrew
bakan,pecan,o,al-baqqān,الْبَقَّان,arabic
bakar,inspect,a,bakar,בַּקָּר,hebrew
bakir,senior (rank),m,bakhír,בָּכִיר,hebrew
bakoq,control,a,bakong,把控,chinese
baktan,portion,o,bhaktá,भक्त,sanskrit
baktim,fond,m,bhakti,भक्ति,sanskrit
bal,world (conception of reality),o,,,
balad,habituate,a,ballada,بَلَّدَ ,arabic
balag,rhetoric,o,balagha,,swahili
balat,tile,o,balata,בָּלָטָה,hebrew
balax,detect,a,balash,בַּלָּשׁ,hebrew
bald,building,o,,,english
baldar,reciprocate,a,baoda,报答,chinese
baldjiq,alarm,o,bào jǐng,报警,chinese
balen,burst,a,bào liè,爆裂,chinese
balfal,erupt,a,bàofā,爆发,chinese
baltin,title,o,biaoti,标题,chinese
baltxik,maintain,a,bǎochí,保持,chinese
balun,protect,a,bǎohù,保护,chinese
balzeq,assure,a,bǎo zhèng,保证,chinese
balziq,guarantee,o,baozheng,保证,chinese
bamap,stage,o,bama,בָּמָה,hebrew
banben,variant,m,bǎnběn,版本,chinese
bandik,connect,a,bandika,,swahili
bandjim,edit,o,bianji,编辑,chinese
banin,benign,m,,,english
banlin,transact,a,banli,办理,chinese
banluk,mate,o,bàn lǚ,伴侣,chinese
bantik,bounty,o,,,english
banxiq,deform,a,bianxing,变形,chinese
banxol,wrench (move with force),o,banshou,扳手,chinese
bapcam,expedition,o,baʿṯa,بَعْثَة,arabic
bapid,become,a,baʿida,بَعِدَ,arabic
baq,self (auto-),o,,,
baqwan,evening,o,bàng wǎn,傍晚,chinese
baraj,barrage,o,,,english
barak,bless,a,barak,בָרַךְ,hebrew
barbar,stutter,a,barbara,बर्बर,sanskrit
bard,b sound,m,,,
barik,heavy,m,bhārika,भारिक,sanskrit
barkuk,plum,o,barqūq,بَرْقُوق,arabic
barlik,barely,m,,,english
barman,table,o,,भार्मन्,sanskrit
barsim,alfalfa (vegetable),o,al-barsim,البرسيم,arabic
barvaz,duck (bird),m,bar'vaz,ברווז,hebrew
barzak,barrier,o,barzakh,برزخ,arabic
bas,past (distance),o,,,english
basal,onion,o,baṣal,بَصَل,arabic
basan,speak,a,bhāṣaṇ,भाषण,sanskrit
basir,well-seeing,m,baṣīr,بَصِير,arabic
basit,talk,a,,भाषित,sanskrit
basman,ash,o,,भस्म,sanskrit
bat,opposite (anti),m,,,
batal,cease,a,batál,בָּטַל,hebrew
batik,watermelon,o,baṭṭīḵ,بَطِّيخ,arabic
batsak,dough,o,batsék,בָּצֵק,hebrew
batul,birch (tree),o,al-batūlā,الْبَتُولَا,arabic
batum,fellow,o,baṭu,बटु,sanskrit
bavan,dwell,o,bhavana,भवन,sanskrit
bawok,grasp,a,bawo,把握,chinese
baxal,ripe,m,bashel,בָּשֵׁל,hebrew
baxir,herald,o,bašīr,بَشِير,arabic
bayin,evidence,o,bayyina,بَيِّنَة,arabic
bayit,house,o,bayit,בַּיִת,hebrew
bazal,pea (vegetable),o,al-bazala,البازلاء,arabic
bazaq,tyrrany,o,baozheng,暴政,chinese
beb,baby,o,,,english
bedjup,tragic,m,bēi jù,悲剧,chinese
bedoq,wiggle,a,bǎi dòng,摆动,chinese
begwan,pessimistic,m,bēi guān,悲观,chinese
bejan,beige,o,,,english
beng,pump,o,beng,泵,chinese
bentul,continent,o,běntǔ,本土,chinese
beqdjin,taut,m,bēng jǐn,绷紧,chinese
beral,barrel,o,,,english
berik,berry,o,,,english
besik,basic,m,,,
bezik,cup,o,bēi zi,杯子,chinese
biClak,plead,a,,biðla,icelandic
bid,cosine,o,,,
bidat,stoke,a,bedāa,بضاعة,arabic
bidik,joke,o,bdicha,בְּדִיחָה,hebrew
bidur,entertainment,o,bidur,בִּידּוּר,hebrew
bidyon,fiction,o,bidyon,בִּדְיוֹן,hebrew
bihal,panic,m,behalah,בֶּהָלָה,hebrew
bihim,beast,o,behema,בְּהֵמָה,hebrew
bik,reach,a,,,
bikur,visit,a,bikur,בִּיקּוּר,hebrew
bikxun,beg,o,bhikṣu,भिक्षु,sanskrit
bilam,brake,o,belem,בֶּלֶם,hebrew
bilik,ratio,o,bǐlì,比例,chinese
bilkad,hardly,m,bilkād,بِالكَاد,arabic
bilpan,betray,a,beipan,背叛,chinese
bimyan,avoid,a,bìmiǎn,避免,chinese
binat,violate,a,,भिनत्ति,sanskrit
bintal,morbid,m,bingtai,病态,chinese
bip,bit,o,,,
biq,else,m,,,
biqgan,cookie,o,bǐng gān,饼干,chinese
bir,bear (carry),o,,,english
biran,inevitable,m,bì rán,必然,chinese
birik,knee,o,berech,בֶּרֶךְ,hebrew
birur,inquiry,o,berur,בֵּירוּר,hebrew
biryon,thug,o,biryon,בִּרְיוֹן,hebrew
bis,across (trans-)/cross,o,,,
bisal,match (competition),o,bǐsài,比赛,chinese
bisman,horror,o,bhīṣma,भीष्म,sanskrit
bit,under,m,,,
bitak,insure,o,bituach,בִּיטּוּחַ,hebrew
bital,beetle,o,,,english
bitar,bitter,m,,,english
bituk,accent,o,bitúi,בִּטּוּי,hebrew
bixmam,horrible,o,,भीष्म,sanskrit
biyep,graduate,o,bìyè,毕业,chinese
biyun,interpolate,o,biyun,בִּיּוּן,hebrew
biz,business,o,,,english
bizar,bizarre,m,,,english
bizik,nose,o,bí zi,鼻子,chinese
blabak,blob,o,,,english
blaCrak,balloon,o,,blaðra,icelandic
blagan,mess,o,balagan,בָּלָגָן,hebrew
bland,blend,o,,,english
blemix,blemish,o,,,english
bloC,blood,o,,blóð,icelandic
bobot,frequent,m,bobhoti,बोभोति,sanskrit
boc,together/bind,m,,,
bod,know,a,,,
bodaq,convey,a,biǎodá,表达,chinese
boger,mature,m,bogér,בּוֹגֵר,hebrew
bok,otherwise,m,,,
bold,10^27,o,,,
boldoq,fluctuate,a,bodong,波动,chinese
bomon,membrane,o,bomo,薄膜,chinese
bon,link,o,,,
bor,boundary,o,,,
bord,bird,o,bird,,english
bordan,board,o,,,english
borig,screw (bolt),o,boreg,בּוֹרֶג,hebrew
botxiq,fickle,m,bó qíng,薄情,chinese
bov,debug,a,,,
bovin,bovinae,m,,,
brakit,bracket,o,,,english
braman,create,o,,,
bramxan,deviate,o,,भ्रंश,sanskrit
brat,big,m,brhat,बृहत्,sanskrit
bred,vowel large E sound,o,,,
brekan,pool,o,brecha,בְּרֵיכָה,hebrew
brenan,brain,m,brain,,english
bretal,brittle,o,,,english
brilon,embryo,m,embryo,,english
britan,bright,m,,,english
briyant,brilliant,m,brilliant,,english
buban,doll,o,buba,בּוּבָּה,hebrew
bud,awake,m,,,
budjuk,remedy,o,bujiu,补救,chinese
budwan,constant,m,bú duàn,不断,chinese
buf,exclude,a,,,
buk,bundle (matter condensing),m,,,
bum,boom,a,,,english
bunduk,hazelnut,o,bunduq,بُنْدُق,arabic
bur,concern,o,,,
bus,object (subject),o,,,
butoq,distinct,m,bù tóng,不同,chinese
butxoq,augment,a,bǔchōng,补充,chinese
buxan,embellish,a,bhūṣaṇa,भूषण,sanskrit
byaldik,cousin,o,biǎo dì,表弟,chinese
byanfut,bat,o,biān fú,蝙蝠,chinese
byanlaq,variable,m,biàn liàng,变量,chinese
byanwan,variation,o,biàn huà,变化,chinese
byut,beauty,o,,,english
cagaf,culture (society),o,ṯaɡāfa,ثقافة,arabic
cagur,naughty,m,,óþægur,icelandic
Cahab,gold,o,ḏahab,ذهب,arabic
Cakar,mention,o,ḏakara,ذَكَرَ,arabic
Calil,dispicable,m,ḏalīl,ذَلِيل,arabic
Cam,without,m,,,
camal,stay,a,ṯamala,ثَمَلَ,arabic
camar,fruit,o,thamar,ثَمَرَ,arabic
camil,drunk,m,ṯamil,ثَمِل,arabic
Camim,obnoxious,m,ḏamīm,ذَمِيم,arabic
candor,thunder,m,thunder,,english
caram,revolution (society),o,ṯawra,ثَوْرَة,arabic
carf,need,o,,þarf,icelandic
carkat,bargain,o,,þjarka,icelandic
carwaq,plenty,a,ṯarwa,ثَرْوَة,arabic
cat,hook,o,,,
cawab,reward,o,ṯawāb,ثَوَاب,arabic
cefur,stench,o,,þefur,icelandic
Cen,than,m,,,english
cenyan,stretch,a,,þenja,icelandic
ceqk,thank,o,,,english
cets,mole (measurement),o,,,
cikam,rely,a,ṯiqa,ثِقة,arabic
cin,short,m,,,
cinur,tensor,o,,þinur,icelandic
ciq,thing (hatchling),o,,,
ciqk,think,a,,,english
cis,unless,o,,,
cob,distance (tele-),o,,,
Cog,though/regard,m,,,english
com,effect,o,,,
Con,transition,o,,,
cor,or,m,,,
corat,revolutionary,m,thaorah,ثًوْرَة,arabic
Cork,large C sound,o,,,
corn,british o vowel sound,o,,,
cornam,thorn,o,,þorn,icelandic
cotaq,rush,o,,þjóta,icelandic
Coz,except,a,,,
crag,amphibian,o,,,
crak,10^30,o,,,
crat,puzzle,o,,þraut,icelandic
creklas,coward,o,,þreklaus,icelandic
crelak,toil,o,,þræla,icelandic
cristaq,squeeze,a,,þrýsta,icelandic
cron,south,o,,,
crot,c sound,o,,,
crugal,nonsense (rubbish),o,,þrugl,icelandic
cruqgin,stifle,o,,þrunginn,icelandic
cugram,gap,o,ṯuḡra,ثُغْرَة,arabic
cuk,eleven,o,,,
cukbat,hollow,o,ṯuqba,ثُقْبَة,arabic
cum,through/tunnel,o,,,english
curious,haltxim,m,hàoqí,好奇,chinese
dabar,follow,a,dabara,دَبَرَ,arabic
dabiv,dub,a,ledab(e)v,לְדַבֵּב,hebrew
daCur,dead,m,,dauður,icelandic
dadan,bold,o,dà dǎn,大胆,chinese
dadat,put,a,,दधाति,sanskrit
dadjik,blow,a,dǎjí,打击,chinese
dadol,avenue,o,dà dào,大道,chinese
daf,previous,m,,,
dag,sine,o,,,
dagal,perhaps,m,dàgài,大概,chinese
dagan,cereal,o,dagan,דָּגָן,hebrew
dagdag,tickle,o,ledagd(e)g,לְדַגְדֵּג,hebrew
dagim,sample,o,dgima,דְּגִימָה,hebrew
dagix,emphasis,o,dagesh,דָּגֵשׁ,hebrew
dahak,stress,o,dachak,דַּחַק,hebrew
dahuk,skid,o,dahua,打滑,chinese
dak,minute,o,daka,דַּקָּה,hebrew
dakbil,bill (bird),m,bill,,english
dakdak,scrutinize,a,ledakd(e)k,לְדַקְדֵּק,hebrew
dakxam,competent,m,dakṣa,दक्ष,sanskrit
dal,matter (physics),o,,þing,icelandic
dalal,contribute,a,dàilái,带来,chinese
dalap,weapon,o,dalapḥ,दलपः,sanskrit
daldek,moral,m,dào dé,道德,chinese
daldil,deplete,a,ledald(e)l,לְדַלְדֵּל,hebrew
dalif,leak,o,dlifa,דְּלִיפָה,hebrew
dalig,skip,a,ledal(e)g,לְדַלֵּג,hebrew
dalun,road,o,dàolù,道路,chinese
dalut,dilute,a,,,english
dan,the,m,,,
dandaq,pawn,a,diǎn dàng,典当,chinese
dandjan,dignity,a,duanzhuan,端庄,chinese
dandyal,drab,m,dān diào,单调,chinese
dangal,cake,a,dàn gāo,蛋糕,chinese
danin,donation,o,dānin,दानिन्,sanskrit
danol,compute,o,diannao,电脑,chinese
dansor,dinosaur,m,dinosaur,,english
danxap,timid,m,danxiao,胆小,chinese
danxin,worry,m,dānxīn,担心,chinese
danzeq,witness,o,jiànzhèng,见证,chinese
dapik,collocation,o,dapei,搭配,chinese
dapok,shiver,a,dǎpò,打破,chinese
daqgan,induct,a,diangan,电感,chinese
daqkip,donkey,o,,,english
daradj,step,o,daraja,دَرَجَة,arabic
daran,harm,o,ḍarra,ضَرَّ,arabic
darat,mote,o,ḏarra,ذَرَّة,arabic
dardar,degrade,a,ledaRd(e)R,לְדַרְדֵּר,hebrew
darm,morality,o,dhárma,धर्म,sanskrit
darsan,dream,o,,दर्शन​,sanskrit
dart,east,o,,,
darun,rough,m,,दारुण,sanskrit
darxan,philosophical system,o,dárśana,दर्शन,sanskrit
dat,decimal,o,,,
datsul,sculpture,o,diaosu,雕塑,chinese
dav,here,m,,,
davlal,ruffle,o,ledavl(e)l,לְדַבְלֵל,hebrew
dax,state,o,daśā,दशा,sanskrit
daxin,fertilize,a,ledax(e)n,לְדַשֵּׁן,hebrew
daxwen,university,o,dàxué,大学,chinese
dayak,grate,o,dhayaqa,ضَايَقَ,arabic
dayam,pity,o,,दया,sanskrit
dayar,tenant,o,dayar,דַּייָּר,hebrew
dayat,suck,o,,धयति,sanskrit
dayek,precise,m,leday(e)k,לְדַייֵּק,hebrew
dayin,responsible,m,,दायिनी,sanskrit
dayuc,cuckold,o,dayyūṯ,دَيُّوث,arabic
dayul,approximate,a,dàyuē,大约,chinese
ded,past (-ed),o,,,
dekel,palm,o,dekel,דֶּקֶל,hebrew
delat,door,o,delet,דֶּלֶת,hebrew
dem,extend,a,,,
dendeq,etc,o,děngděng,等等,chinese
dentxiw,stool,o,dengzi,凳子,chinese
deqpal,bulb,o,dēng pào,灯泡,chinese
deqxal,equivalent,a,děng xiào,等效,chinese
dereg,scale,o,dereg,דֶּרֶג,hebrew
devan,hobby,o,devanā,देवना,sanskrit
diban,slander,o,diba,דִּיבָּה,hebrew
did,indeed,m,,,english
didak,tick tock,a,dí dā,嘀嗒,chinese
didyan,site,o,dìdiǎn,地点,chinese
digam,model,o,degem,דֶּגֶם,hebrew
dik,maker,o,,,
diken,decay,m,decay,,english
dikos,cram,a,lidH(o)s,לִדְחוֹס,hebrew
dikur,remembrance,o,dhikr,ذِكْر,arabic
dilak,fuel,o,delek,דֶּלֶק,hebrew
dim,idea,o,,,
dimut,figure,o,demut,דְּמוּת,hebrew
dimyon,imagination,o,dimyon,דִמיוֹן,hebrew
din,then,a,,,english
dinlim,theorem,o,dingli,定理,chinese
dip,tree,o,,,
dipak,kindle,a,dīpaka,दीपक,sanskrit
diqin,exhort,a,dingning,叮咛,chinese
dirdar,elm (tree),o,ad-dirdār,الدِّرْدَار,arabic
dirman,skin,a,derma,,latin
dis,number,a,,,
distrik,district,a,,,english
dit,datetime stamp/instance in time,o,,,
ditxen,overcast,o,dichen,低沉,chinese
div,multicellular life,o,jIva,जीव,sanskrit
divak,glue,o,devek,דֶּבֶק,hebrew
divan,echo,o,,ध्वनि,sanskrit
divot,devote,a,,,english
dix,condition (general state),a,,,
dixaq,boy/girl friend,o,duìxiàng,对象,chinese
dixik,address,o,dì zhǐ,地址,chinese
diyan,reflection,o,,ध्यान,sanskrit
diyun,discuss,a,diyun,דִיוּן,hebrew
diyur,accommodate,a,diyur,דִּיּוּר,hebrew
diyut,illuminate,a,dyut,द्युत्,sanskrit
djabar,math,o,aljabr,الجبر,arabic
djadab,entice,a,jadhab,جَذْبٌ,arabic
djadjum,aggravate,a,jiā jù,加剧,chinese
djagan,butt,o,,जघन,sanskrit
djahat,renounce,o,jáhāti,जहाति,sanskrit
djahol,thick,o,jiahou,加厚,chinese
djahum,burn,o,jaḥuma,جَحُمَ,arabic
djalyun,exchange,o,jiāoliú,交流,chinese
djalzit,toe,o,jiǎo zhǐ,脚趾,chinese
djan,consonant,o,,,
djanam,paradise,o,janna,جَنَّة,arabic
djandal,perceive,a,jiàndào,见到,chinese
djandan,ordinary,m,jiǎndān,简单,chinese
djandiq,steadfast,m,jianding,坚定,chinese
djangut,sturdy,m,jiān gù,坚固,chinese
djanrin,tough,m,jianren,坚韧,chinese
djantxap,examine,a,jiancha,检查,chinese
djantxaq,robust,m,jianzhuang,健壮,chinese
djantxik,insist,a,jiānchí,坚持,chinese
djanxal,decrease,a,jiǎnshǎo,减少,chinese
djanyik,propose,a,jiànyì,建议,chinese
djanyul,simple,m,jianyue,简约,chinese
djaqdjin,subsidy,a,jiǎngjīn,奖金,chinese
djaqyiq,stiff,a,jiāng yìng,僵硬,chinese
djaret,gyrate,m,gyrate,,english
djataq,birth,a,jātá,जात,sanskrit
djatum,rubber,a,,जतु,sanskrit
djatxaq,fort,a,jiaqiang,加强,chinese
djawaf,guava,o,jawāfa,جَوَافَة,arabic
djayik,handle,a,jiāyǐ,加以,chinese
djayiz,prize,a,jayiza,جائزة,arabic
djayuk,educate,o,jiàoyū,教育,chinese
djazik,worth,m,jiàzhí,价值,chinese
djedjan,frugal,m,jié jiǎn,节俭,chinese
djedwin,absolute,m,jué duì,绝对,chinese
djekol,excuse,a,jiè kǒu,借口,chinese
djeruk,intervene,o,jièrù,介入,chinese
djetxuk,eminent,m,jié chū,杰出,chinese
djetxuq,relieve,o,jiěchú,解除,chinese
djexal,present (show),o,jiè shào,介绍,chinese
djexip,reveal,o,jiē shì,揭示,chinese
djexol,receive,o,jiēshòu,接受,chinese
djiben,main,m,jīběn,基本,chinese
djidan,extreme,m,jiduan,极端,chinese
djidjal,fabricate,a,zhizao,制造,chinese
djidjin,fund,a,jī jīn,基金,chinese
djidjip,aggress,o,jiji,积极,chinese
djifaq,debit,a,jiefang,借方,chinese
djiget,several,m,jǐ gè,几个,chinese
djigol,agency,a,jī gòu,机构,chinese
djihad,strive,o,,,arabic
djilik,intense,m,jilie,激烈,chinese
djimal,lash,o,jiemao,睫毛,chinese
djimam,oblique,m,,जिह्म,sanskrit
djimkat,unravel,m,jiekai,解开,chinese
djinbul,advance,o,jìnbù,进步,chinese
djinfap,blond,m,jīn fà,金发,chinese
djingwan,spite,a,jǐn guǎn,尽管,chinese
djinswok,crunch,o,jǐn suō,紧缩,chinese
djintxaq,nervous,m,jinzhang,紧张,chinese
djinxil,fast (eating),o,jinshi,禁食,chinese
djinxiq,conduct,a,jinxing,进行,chinese
djinxul,metal,a,jinshu,金属,chinese
djinzik,restrain,o,jìnzhǐ,禁止,chinese
djinzim,forbid,a,jinzhi,禁止,chinese
djinzit,pyramid,o,jinzita,金字塔,chinese
djipol,dissect,o,jiepo,解剖,chinese
djiqbal,alert,o,jǐng bào,警报,chinese
djiqdan,emphasize,o,qiangdiao,强调,chinese
djiqdjik,income,a,jīngjì,经济,chinese
djiqfek,expense,a,jīngfèi,经费,chinese
djiqkaq,circumstance,a,qingkuang,情况,chinese
djiqren,stupendous,m,jīng rén,惊人,chinese
djiqtik,vigilant,m,jǐng tì,警惕,chinese
djiqzim,sophisticated,m,jingzhi,精致,chinese
djirol,muscle,o,jirou,肌肉,chinese
djiryip,deal,a,jiaoyi,交易,chinese
djitxup,basis,a,jī chǔ,基础,chinese
djivat,revive,a,,जीवति,sanskrit
djixik,diet,o,jié shí,节食,chinese
djixuk,resume,o,jìxù,继续,chinese
djixup,technology,o,jìshù,技术,chinese
djiyan,gene,m,jīyīn,基因,chinese
djiyup,opportune,m,jiyu,机遇,chinese
djont,joint,o,,,english
djotoq,traffic,o,jiaotong,交通,chinese
djubat,bar,o,jiǔ bā,酒吧,chinese
djudak,monument,o,jù dà,巨大,chinese
djudap,enormous,m,jù dà,巨大,chinese
djudjiq,assemble,o,jùjí,聚集,chinese
djufen,entangle,o,jiūfēn,纠纷,chinese
djukzaq,rectify,o,jiuzheng,纠正,chinese
djulan,joule,o,,,english
djundwip,army,o,jūn duì,军队,chinese
djunxik,military,o,jūn shì,军事,chinese
djus,juice,o,,,english
djutik,specific,m,jùtǐ,具体,chinese
djutxal,picket,a,jiucha,纠察,chinese
djuvas,swift,m,júvas,जुवस्,sanskrit
djuwok,dimple,a,jiǔ wō,酒窝,chinese
djuxiq,rectangle,o,jǔ xíng,矩形,chinese
djuzik,sentence (text),a,jùzi,句子,chinese
dob,two,m,,,
dofik,pulse,o,dofek,דּוֹפֶק,hebrew
dohal,comma,o,dòuhào,逗号,chinese
dohar,mail,o,do'ar,דּוֹאַר,hebrew
dojam,marijuana,o,,,
doldoq,jitter,o,dǒu dòng,抖动,chinese
dolpeq,cloak,o,dǒu peng,斗篷,chinese
dom,state (-dom),a,,,
doqdjim,frozen,m,dongjie,冻结,chinese
doqwak,animate,o,dòng huà,动画,chinese
doqxwet,cavern,a,dòng xué,洞穴,chinese
dor,unite,o,,,
dortan,dirt,a,,,english
dotiq,doting,m,,,english
doven,dove (bird),o,,,english
dox,down (to be cool with something),a,,,
