english       	ipa             	algorithm	human  	notes
fox           	fɒks            	faken    	fakas  	keep all 3 consonants f-k-s
frog          	frɒɡ            	farug    	farag  	split fr cluster
hedgehog      	hɛdʒhɒɡ         	hajan    	hajog  	dj->j keep prominent sounds
aquarius      	əˈkwɛːriəs      	hakav    	keris  	center on stressed syllable
owl           	aʊl             	hanor    	halon  	h-prefix for vowel-initial
wednesday     	ˈwɛnzdeɪ        	bedis    	wazen  	keep w preserve prominent sounds
thursday      	ˈθɜːrzdeɪ       	coren    	cuzen  	c->c preserve z
december      	dɪˈsɛmbər       	dimor    	sabor  	center on stressed SEM syllable
january       	ˈdʒænjuˌɛri     	jalis    	janar  	dj->j follow order
gemini        	ˈdʒɛmɪnaɪ       	jenis    	jemin  	dj->j follow order tightly
july          	dʒuˈlaɪ         	jolin    	jolin  	correct
june          	dʒuːn           	junin    	junin  	correct
cancer        	ˈkænsər         	kanor    	kasen  	reorder n-s by prominence
capricorn     	ˈkæprɪˌkɔːrn    	kapon    	rikon  	start from r in cluster
scorpio       	ˈskɔːrpiːoʊ     	kopor    	kopin  	drop s from sk
electron      	ɪˈlɛktrɒn       	likan    	likan  	correct
uranus        	ˈjʊərənəs       	loros    	yuran  	y preserved at C1
earth         	ɜːrθ            	loruc    	harac  	h-prefix split vowel-initial
gluon         	ˈɡluːɒn         	lusan    	gulan  	split gl cluster
march         	mɑːrtʃ          	matax    	matax  	correct
cat           	kæt             	katen    	kataq  	q as C3 filler
quark         	kwɑːrk          	kavor    	kavok  	preserve final k
lavender      	ˈlævɪndər       	lavun    	lavin  	follow order tightly
lizard        	ˈlɪzərd         	lizor    	lizad  	preserve d at end
spinach       	ˈspɪnɪtʃ        	sapen    	pinax  	drop s from sp keep p
berry         	ˈbɛri           	varin    	barin  	preserve b at C1 always
bee           	biː             	winis    	biniq  	preserve b echo with q filler
weasel        	ˈwiːzəl         	tizal    	wizal  	preserve w at C1
llama         	ˈlɑːmə          	gamor    	lamat  	follow IPA order faithfully
zebra         	ˈzɛbrə          	gobor    	zibar  	split br preserve z at C1
goat          	ɡoʊt            	gatoz    	gotat  	echo t as C3
hippo         	ˈhɪpoʊ          	hipor    	hipoq  	q as C3 filler
skunk         	skʌŋk           	kexok    	kanak  	both s and k or keep k
camel         	ˈkæməl          	kumal    	kamal  	follow order faithfully
mouse         	maʊs            	mamor    	masol  	preserve s from aʊs
mosquito      	mɒˈskiːtoʊ      	mosek    	mokit  	center on stressed syllable
pumpkin       	ˈpʌmpkɪn        	pamip    	pakin  	drop m from mp keep p-k
pig           	pɪɡ             	pegas    	pigak  	preserve pig then extend
raven         	ˈreɪvən         	renin    	revan  	preserve v
maple         	ˈmeɪpəl         	menul    	mepol  	preserve p and l
monkey        	ˈmʌŋki          	mamik    	makin  	q(ng)->k reorder for flow
