tune,english
temis,hunt
rizan,reason
miter,agriculture
hediz,wealth
hefas,craft
himes,cunning
hesit,chastity
posid,water
zusis,weather
hakes,poison
hefir,light
keyas,void
nemis,retribution
metis,advice
dimak,brain
gisim,body
matim,fold
samak,fish
tuyur,bird
mohar,engine
tazak,ticket
mazil,house
tarik,road
mixor,path
gisir,bridge
rahat,rest
guraf,room
geyer,town
mokam,camp
balad,country
fadad,space
mokit,location
bihar,environment
tawin,habitat
mohit,ocean
nahar,river
gabal,mountain
matel,rain
talig,snow
xagar,tree
xamis,sun
gamar,moon
halam,world
turab,earth
samar,sky
zaret,plant
hawar,wind
warid,flower
nagim,star
safag,leaf
hawat,air
xatib,beach
mogak,wave
narin,fire
gazir,island
hadib,hill
harar,heat
tabig,nature
kahif,cave
sukor,rock
gawer,gem
sahil,coast
sahar,desert
xalal,waterfall
sihab,cloud
hasif,storm
mosir,transportation
gibab,pocket
malas,clothing
bogat,stain
barid,cold
zarat,atom
gozar,molecule
kalit,cell
walad,son
banat,daughter
walit,mother
walid,father
tefal,baby
hakot,man
vakot,woman
hakek,brother
haket,sister
helar,family
zogid,husband
zogit,wife
garin,neighbor
weled,boy
benip,girl
tifik,child
raxid,adult
nosan,human
sadig,friend
dahid,victim
labib,player
mogeb,fan
gomor,crowd
xokis,person
galis,babysitter
kabir,elder
sakir,youth
kewon,sibling
mohem,teacher
tolib,student
nedil,waiter
molif,author
moder,manager
sahaf,reporter
momat,actor
xogol,job
mohen,engineer
sanil,maker
monez,executive
melik,king
melat,queen
dinet,religion
genet,heaven
gehim,hell
yaman,death
hileg,medicine
zogek,marriage
haris,wedding
farit,team
sibat,race
xekax,sex
genis,gender
gotal,murder
sigim,prison
tekin,technology
tegot,energy
hereb,war
salim,peace
hegom,attack
simim,poison
mosed,gun
reyod,sport
tedir,exercise
koret,ball
loheb,game
sirir,price
dowet,drug
wixer,sign
wolem,science
zegif,culture
fareg,band
goner,song
notat,note (musical)
hemon,harmony
tener,discord
nagam,melody
molet,musical instrument
mosik,music
finon,art
buzul,seed
hakid,food
tariz,table
kuris,chair
serik,bed
holim,dream
xubok,window
bebib,door
goraf,bedroom
moteb,kitchen
bohat,paint
malel,note
hayit,wall
vorid,floor
sagif,roof
miseb,pool
gifir,lock
hetif,phone
hedip,gift
bitog,card
ketem,ring
hedet,tool
xebek,network
hesob,computer
boreg,software
mehol,laptop
xexat,screen
soter,voice
madic,material
perem,meter
gerim,gram
nisif,half
doran,circle
moreb,square
mosel,triangle
moset,rectangle
sowen,sphere
mokeb,cube
wezin,weight
hafet,edge
zawid,corner
karit,map
nogat,dot
dawis,light
sowet,sound
gitat,piece
gorok,injury
hofer,hole
soret,image
nemit,pattern
marid,disease
wegek,pain
gimot,top
gerer,bottom
genib,side
wagit,front
kerig,outside
dekir,inside
hemom,straight
zenog,north
dosog,east
salog,south
lomog,west
gihat,direction
fasil,season
wered,rose
horis,guard
havik,concert
sikat,rail
montig,zone
risal,text
hasin,origin
molid,birth
resem,painting
vamig,deep
halat,machine
horet,freedom
gosir,palace
xabik,internet
gorim,crime
tehid,challenge
hagim,volume
rehet,break
zakir,memory
peken,mike
dewef,guest
hafit,peak
tagig,crown
xorik,partner
mekoz,stock
haset,sense
musen,factory
wihal,bowl
horab,vehicle
rubut,quarter
kayal,fiction
sewal,question
moter,mobile
tehon,mill
davef,bass
sebeg,contest
vedok,enemy
medek,entrance
rivat,height
sovir,passenger
mebed,chapel
tepel,temple
hegem,scale
koren,tennis
geres,bell
xoret,signal
wegod,fuel
xeyer,poet
gonit,rich
xekal,shape
modet,fashion
moher,motor
wumid,comic
goref,chamber
hozer,trail
toket,downtown
selib,negative
gowar,weather
sorat,picture
xebek,web (internet)
gowet,strength
nogot,spot
mesek,evening
hamel,hope
ruhet,spirit
honen,address
vohim,coal
vesal,chapter
kezen,cabinet
seweg,driver
selen,chain
vohil,folk
hegir,cycle
wasel,link
gehez,device
maser,lane
hemen,faith
mewed,date
zemen,time
gedid,new
welon,state
gezok,part
yaxid,film
keyen,being
terik,history
homen,work
hayet,life
manit,area
nosim,people
mosal,series
hesem,name
sekeb,album
mogot,group
moget,district
regem,number
holip,high
gemin,college
mohet,station
menez,home
nihek,end
hodon,member
meken,place
womer,age
kogad,football
ketim,line
hevel,party
gerit,village
nehet,final
horid,show
ximem,left
nizem,order
wohid,single
tegim,set
towig,stop
gexip,army
tifan,children
gowot,power
molok,land
legeb,title
gezer,award
terig,way
setal,list
meleb,field
nogak,point
sogir,young
moger,site
gowat,force
sebor,board
sorom,video
meher,battle
veren,hall
yemen,right
gesat,story
logat,language
wezir,minister
balas,health
sofof,class
torik,track
megal,media
motef,museum
hobet,love
meser,stage
medat,range
rayes,chief
xakis,character
holig,episode
hosim,capital
memal,kingdom
wosit,middle
herek,movement
morid,studio
yomin,today
mowaz,female
zeyon,tv
meset,theatre
menon,bay
moset,future
hedif,goal
dobit,officer
rewat,novel
farig,staff
geyes,standard
gonet,channel
laman,mark
geyid,captain
megid,seat
torey,empire
segel,record
tagat,cross
hodod,smith
menat,port
molok,lord
helag,relationship
kelet,castle
dareg,score
mogen,singer
seger,junior
dawer,turn
xahin,van
hemem,care
kefot,fight
hemer,prince
kotib,writer
momas,actress
moret,lady
regis,dance
zokir,male
setik,surface
konek,creek
gedet,baseball
feren,branch
betik,champion
hoded,border
gezet,prize
gubak,rugby
memor,mayor
sorez,speed
geleb,drama
hekim,judge
voyez,winner
tagek,crew
loniz,gas
sobat,morning
ritor,guitar
moseg,piano
geren,horn
heded,iron
gored,cricket
hilar,block
mefes,joint
lonet,colour
hadiz,accident
losez,golf
rehen,trip
resom,paint
motas,colony
xowab,ray
kotot,step
xixin,object
royat,vision
rohet,soul
seher,magic
rehol,journey
boker,steam
sahey,watch
tubar,brick
debub,bear
gelof,frame
gered,tank
soher,shore
sorer,boundary
resal,message
silek,cable
xexak,cinema
xeher,poem
nebet,planet
nefog,tunnel
halem,universe
wehot,basin
boweb,gate
hegig,truth
zerik,bush
homod,column
yogan,bond
wehat,vessel
zobeb,fly
fawek,fruit
lohet,panel
feris,knight
betin,hero
gemel,beauty
kawif,fear
gerib,cousin
hemal,giant
horix,throne
xerir,evil
belot,oak
gonob,bomb
keyet,string
sogek,mall
getat,strip
zeneb,tail
feset,gap
mehog,timber
berid,mail
hegaz,holiday
xetib,volleyball
hebaz,baker
hezem,belt
selef,weapon
hagel,wheel
wesek,waste
tebag,layer
betak,villa
faged,hip
hilop,sweet
gotob,pole
melek,angel
hojar,cap
dirit,shield
towat,pan
kerif,autumn
negit,crystal
sayal,flood
lohom,meat
gazif,missile
haraz,pine
zebet,wolf
xebef,ghost
haxer,bug
serok,rocket
maref,deck
tebir,drum
teman,wish
segon,jail
zihag,noise
gefer,switch
kafik,palm
gumud,mystery
heget,gear
sawem,liquid
hamen,blind
binak,nephew
kotir,danger
zilal,shadow
hefid,grandson
wonob,tube
torib,bull
seyof,sword
xeret,tape
mesir,fate
nimir,tiger
hikow,tale
sorek,photo
gohor,pit
tayez,spell
fadid,virus
konib,bench
senon,teeth
hemam,bath
sarok,jet
fatar,cork
safar,voyage
meray,mirror
moyam,shelter
selot,bin
xekis,self
moheg,detective
moyed,infection
xirok,dawn
rages,dancer
gawes,arch
hebob,grain
molat,hub
gobal,kiss
kofex,bat
hedig,zoo
harin,shrine
wereg,sheet
tafal,cartoon
monal,midnight
mofex,inspect
medaf,cannon
kanez,treasury
gatet,pack
hedom,clothing article
hoxek,nest
zoban,snake
lazeg,snail
momar,nurse
dohan,smoke
masos,cream
metar,rubber
gomeg,skull
henob,pipe
heyad,clinic
gerex,garage
mebek,disk
gesos,spy
sedor,chest
remed,ash
maden,brass
herer,silk
hadit,coin
genar,mask
hajal,bike
xitan,devil
temaz,statute
morav,jam
veral,strawberry
meneg,mango
gelid,frost
geled,leather
vasil,classroom
gizib,trunk
xilol,fountain
mozik,diary
ginaf,subway
walim,feast
gerop,wound
xifar,blade
delet,pet
zibad,butter
meger,galaxy
zerib,barn
sekur,cherry
lubat,toy
tabeg,dish
kebed,liver
hazad,harm
genin,infant
sufer,fur
heson,cylinder
melag,hook
mugat,tide
semit,silence
wareb,carry
gomix,fabric
gevis,cage
medak,pump
zarar,button
gawez,reward
gozoz,rainbow
habeg,alphabet
tutut,berry
gelat,jelly
hasal,honey
hidom,cloth
wahix,beast
faruf,mice
wogar,taxi
setar,curtain
sured,fence
debos,pin
heram,pyramid
wered,lily
heteb,lumber
xogag,courage
moxez,witch
zayer,visit
xegab,riot
,covetous
,merely
,disciple
,revulsion
dosam,aversion
nibid,disenchantment
nimit,"object of senses, of perception, of attention, of concentration, of meditation"
samis,with attachment
niram,without attachment
dugat,"hell, painful state"
sugat,"heaven, happy state"
sukam,"well-being"
sutav,"intellectual"
tanam,"craving"
hudan,"expression of intense feeling"
,flurry
padan,clinging
papat,rebirth
pasak,lay person
pekam,equanimity
potab,"tangible body phenomena"
vikar,thought processes
,ferocity
vimok,deliverance
vimut,liberation
vipak,fruit of actions
vipas,introspection
virag,absence of desire
vivek,seclusion
hadiv,livelihood
,hypocrisy
,scheming
,delusion
bodiq,enlightenment
hekag,unified
,solitude
kamaq,sensuality
nanaq,recognition
zakat,tax
karot,perform
tutan,satisfied
bodiq,enlightenment
kusal,advantageous
samad,compose
hiriq,conscientious
gatim,destination
bavam,existence
hetun,motive
hidim,potent
kamaq,sensuality
senas,sleeping place
ramaq,virtue
nusat,recollection
vataq,custom (practice)
sokaq,sorrow
manas,mind
gataq,occupied with
pitiq,rapture
pisun,malicious
pasaq,contact
parus,harsh
vivek,seclusion
patig,sensory reaction
kidom,harmony energy way
xakar,energy node
xakit,cosmic energy
dugar,protection
kaliq,change
yamun,life
kixan,compassion
ganex,success
hanum,perseverance
laxim,prosperity
mitar,friend
varun,ocean
nidar,rain
dutiq,health
pusan,travel
hagin,fire
vayun,wind
diyas,sky
piriv,earth
daraq,support
suyar,sun
xanad,moon
numat,intellect
buzam,breasts
huxas,dawn
xayam,shadow
puran,ancient
basan,reflection
batin,illuminate
gitas,song
daram,righteousness
nanad,bliss
taman,soul
bakit,devotion
gurum,teacher
mayal,illusion
rodit,beauty
vatim,nourishment
dakax,expert
ditim,innocence
yasam,practice
kaxam,space
xaram,hermitage
vidaq,ignorance
bakat,follower
bavan,imagination
binud,dot on forehead
devaq,supernatural
daraq,focus
diyan,meditation
zazin,seated meditation
dikax,initiation
gayat,sunrise
gunat,quality
hataq,balance
manat,chant
liqan,sign
nudan,channel
niyam,observance
hoxas,energy
tapas,warmth
xitam,consciousness
havaq,now
sulam,ladder
ketur,crown
torak,teach
habus,cute
hagam,lake
niyim,poverty
kinus,gather
hasur,forbidden
zimas,essence
verak,transgression
tavaq,greed
balag,overwhelming situation
bexir,free will
behem,uncouth
beyun,with depth and in detail
benon,spiritually average person
bitul,contempt
borox,curse
xaxam,genius
xakir,proposition
xarif,spicy
xatun,wedding
xaval,"a shame, a waste"
xayav,liable
xazir,pork
xevar,society
xilon,secular
xiyuv,obligation
xofex,free time
xolet,sick
dahak,joke
salad,pray
dugam,example
gayev,obnoxiousness
gonif,thief
ramen,rhyme
hadid,awesome
hanid,do business
haxem,public name of god
hefik,wild
hemix,comfortable
hegax,yearning
hizuk,encouragement
kadox,sacred/holy
kelev,person
kibit,socialize aimlessly
kikar,open space
kalal,principle
koxur,reliable
koved,respect
rovim,relatives
xutiz,guts
masap,a journey
matir,allow
mazav,situation
maven,specialist
mazal,congradulations
mazik,mischevious
menix,honorable
mesor,tradition
midos,character traits
motaz,fortune
musar,discipline
neder,vow
neros,candle
nexam,soul
paxex,complain
patur,exempt
pekal,bundle
perux,clarify
poxet,simple
pupik,navel
safek,doubt
sexal,common sense
segul,folk remedy
xabat,saturday
xefal,sweety
xekal,money
xemoz,uproar
xikar,tipsy
xilak,something cheap and inferior
xulum,unkempt
xumak,annoying and irritating person
sikum,summarize
sivuv,double check
tahor,clean
tiyul,hike
sibur,the public
suvak,hypocrit
zedak,justice
zevat,staff member
varem,kind-hearted
yisad,foundation
yofin,nice
yosem,orphan
zulik,wild
koxas,potential
saman,contemplation
dikur,remembrance
pifan,epiphany
halal,lawful
logos,word
golem,matter
lokut,godliness
hemun,faith
mazal,constellation
holam,concealment
makif,peripheral
raxas,wicked
remez,illusion
xexin,divine presence
ramit,complete attainment
xihad,strive
sator,understanding
nisim,something wonderful
mukit,release
murak,to watch over
xigaq,breath
mamax,reality
nises,ecstacy
yufor,euphoria
funir,funeral
texuv,repentance
kipor,atonement
vidul,confession
zebak,sacrifice
hadon,lord
hadam,soil
hohal,tent
hoyev,enemy
helef,thousand
munaq,trustworthy
beged,garment
behim,cattle
bamak,place of worship
baruk,blessing
basar,flesh
gebul,territory
gibor,hero
maham,great
dabar,affair
debas,honey
hekal,temple
zahab,gold
kadas,fresh
kazak,strong
haram,sin
kakam,wisdom
kiman,wrath
hereb,sword
yayin,wine
yasar,upright
kabod,splendor
kohen,priest
kesef,silver
lekem,bread
lebab,heart
lason,language
magen,shield
mibar,wilderness
makan,camp
mayim,water
malak,messenger
xerub,positive
burex,negative
milam,fight
melek,king
makom,place
marek,appearance
masal,proverbial saying
nekum,utterance
navik,prophet
nahar,river
nakal,torrent
safer,book
kabod,work
zolam,eternity
kamud,pillar/column
kanan,cloud
kafar,dust
kereb,evening
panim,face/surface
pakam,step in time
pesak,rebellion
petak,entrance
takim,sticky
kahal,crowd
kasir,harvest
kexet,bow (arrow)
rokab,breadth
simak,gladness
xebet,staff
xulan,table
xemen,oil
xanaq,year
terum,tribute
tamim,integrity
naxon,correctness
nagid,leader
navon,discern
nediv,generosity
nikud,punctuation
bahir,anonymous
baret,external
hahuv,beloved
kesed,favor
badin,court
bimak,platform
boged,traitor
buxaq,shame
dahat,perspective
dagex,emphasis
dayan,judge
laket,debate
derax,interpretation
dibar,command
munal,steadfast
mutar,freedom
hasor,prohibition
selik,forgiveness
xamaq,obedience
xahon,clock
hamen,confirm
maxix,anointed one
dabar,formalize
hezar,help
tikav,hope
xaval,amazing
nexik,kiss
xagig,party
derex,manners
gemar,learn
halax,law
heter,permission
kavan,intention
kulot,lenient
pisak,decide
xomer,guard
xorex,base of word
zazal,scapegoat
baxar,human
batin,hidden meaning
bidak,innovation
bayak,allegiance
kalif,successor
dalal,astray
virat,physical
yexul,deliverance
farid,obligation
fasid,corrupt
gayib,unknown
hadif,speech
kafiz,memorize
hasan,admirable
hizab,cover
nifaq,tendency to give rather than take
kilaf,controversy
karaz,tax
kafar,hide
kufir,infidelity
masir,gamble
makur,a disliked thing
maruf,consensus
medin,city
mubak,permissible
mufit,scholar
nifak,dishonesty
nihal,joy
nikab,veil
kadar,fate/predestiny
kiyas,analogy
kuran,recite
raman,mercy
ridak,abandon
sakin,tranquility
xahid,martyr
sufik,mystery
surak,chapter
tagut,tyrrany
wuduk,ritual purification
tahir,pure
tarif,forgery
talak,divorce
panix,punishment
warak,writer
wasat,moderation
sadak,charity
bapis,dunk
gapeq,love (sacrificing for others)
karab,offering
kafol,general
berit,agreement
dexan,abundance
galal,account
yagor,dread
hanav,humble
harab,desert
hixon,apple
xalat,rescue
yaxen,smolder
babal,confuse
basar,bring
heres,bed
haman,beleif
xabar,break
sobon,bribe
salal,exalt
bahar,burn
lakad,catch
kadam,confront
kadax,make holy
ganan,defend
hepes,delight
hamad,desire
xahax,despair
kalon,disgrace
napas,disperse
raxok,distance
xalak,divide
kasam,divine
paxad,fear
garas,drive
xakan,remain
moxab,settlement
nexer,eagle
mexar,equity
pelet,survive
heleb,fat
nadad,flee
nabal,fool
xakax,forget
makor,fountain
xalam,devote
gadad,muster
xanun,gracious
naham,roar
gorop,grope
kabed,heavy
pesal,idol
negag,infection
xaman,sage
hamal,labor
nabat,look
hesed,lovingkindness
bahal,marry
xodex,month
kadar,mourn
herem,net
simem,semen
laxat,oppress
masal,prediction
tanur,oven
nasak,overtake
mehum,panic
pesak,pass over
gavak,expire
dakar,pierce
rexep,plague
xabal,pledge
bazaz,plunder
xanef,pollute
yarax,possess
xafak,pour
zamar,praise
gahav,pride
xalal,profanity
xakat,rest
mahar,quiet
marad,rebel
ridim,redeem
nafax,refresh
zakak,refine
xahan,rely
hadas,renew
xebal,rope
maxal,rule
xaxat,slaughter
sagab,safe
setan,adverse
hatam,seal
betax,security
xalax,send
tanin,snake
xanan,sharp
sagar,shut
damam,silent
yakox,snare
mazik,magic
xamal,spare
xalal,spoil
zarak,sprinkle
ganab,steal
madon,strife
sarar,stubborn
xeret,swarm
lamad,learn
nasam,tempt
yagak,to tire
ragaz,tremble
