term,meaning,native
kagnixwaparpil,cognitive obscuration,jñeyāvaraṇa
haxuqyaparpil,emotional obscuration,kleśā-varaṇa
papyanadjyabiq,perfect knowledge being,bodhisattva
yikalyarijon,dependent origination,pratītyasamutpāda
suCyakizwidjul,three jewels,triratna
caxwaved,philosophy,
djivyaved,biology,
kremyaved,chemistry,
vretyamed,settling meditation,sthāpyabhāvanā
nalzyamed,analytical meditation,vicārabhāvanā
kliryavram,clear insight,vipaśyanā
komyamed,calm meditation,śamatha
xoryanadj,omniscient knowledge,sarvajñāna
nalzyaskoq,analytical cessation,pratisaṃkhyā-nirodha
nonyanalzwaskoq,non-analytical cessation,apratisaṃkhyā-nirodha
sarkyacax,discernment wisdom,pratyavekṣanājñāna
tiryacax,truth realm wisdom,dharmadhātujñāna
tiryaralm,truth realm,dharmadhātu
flekyacax,mirror-like wisdom,ādarśajñāna
pramyacax,primordial wisdom,jñāna
kolwiplaxwacax,all-accomplishing wisdom,kṛtyānuṣṭhānajñāna
zigyacax,equality wisdom,samatājñāna
dramyaform,anthropomorphic,
sagyakim,beyond climb,
wodwaved,etymology,
retyadjiv,afterlife,
xaxwadjiv,immortality (eternal life),
rixwayog,spirituality,
ciqkyamanyaved,psychology,
reCwitxotyavat,loosening body,lysosome
zanyasornmes,1 sun month,
dobwasornmes,2 sun month,
suCwasornmes,3 sun month,
lafyasornmes,4 sun month,
kamwasornmes,5 sun month,
vivyasornmes,6 sun month,
xabwasornmes,7 sun month,
fetwasornmes,8 sun month,
naswasornmes,9 sun month,
bunyasornmes,10 sun month,
cukyasornmes,11 sun month,
modyasornmes,12 sun month,
ruzwasornmes,13 sun month,
zanyatxanmes,1 moon month,
dobyatxanmes,2 moon month,
suCyatxanmes,3 moon month,
lafyatxanmes,4 moon month,
kamyatxanmes,5 moon month,
vivyatxanmes,6 moon month,
xabyatxanmes,7 moon month,
fetyatxanmes,8 moon month,
nasyatxanmes,9 moon month,
bunyatxanmes,10 moon month,
cukyatxanmes,11 moon month,
modyatxanmes,12 moon month,
ruzyatxanmes,13 moon month,
zanyayam,1 day of week,
dobwayam,2 day of week,
suCwayam,3 day of week,
lafyayam,4 day of week,
kamwayam,5 day of week,
vivyayam,6 day of week,
xabyayam,7 day of week,
volyadax,emptiness,śūnyatā
yaqyamokx,dimension of ceaseless manifestation,nirmanakaya
samsarwapod,free from samsara,moksha,
manyapres,mental pressure,
Cevyabil,without limit,ein sof
wavyadom,existence,
zanyaraC,unison,one rhythm
zanyadom,unity,one state
totalyadom,totality,total state
nonyabod,unknown,
djipyakol,overall,
,omnipresent,everywhere present
hasyajet,hyperbolic,
hasyakub,hypercube,
nonyablants,imbalance,
manyanir,mind-nerd,
primwakej,archetype,
drutwanamp,electromagnetic,
sikyanav,centripetal
sikyavoq,centrifugal
sidwativa,seed-consciousness,ālayavijñāna
