word,meaning,confidence,section,status,derivation
zus,experience,hand made,Experience and its two faces,taken by experience,"z + u inward, felt + s"
siz,do / act,"derived, strong",Experience and its two faces,"in system, free","z active + i outward, action + s experience. The"
man,mind,hand made,Experience and its two faces,taken by mind,"m the good pole to n the far pole, spanned, with a the"
vut,be,hand made,Experience and its two faces,"in system, free","v vibe + u deep, held + t standing. The vibe that stands"
zaq,presence,provisional,Experience and its two faces,taken by presence,z active + a present + q the field. The active
mus,pleasure,"derived, strong",Tone: the feeling axis,taken by mercy,"m good + u inward, felt + s experience. The good"
saq,peace,"derived, strong",Tone: the feeling axis,taken by song,s stillness + a center + q oneness. The still center
nus,pain,"derived, strong",Tone: the feeling axis,"legal, not picked","n the bad pole + u inward, felt + s experience. The"
taf,good,"derived, strong","Good and bad, bright and dark",taken by good,t toward + a the center + f flow. Flowing toward the
fut,bad,"derived, strong","Good and bad, bright and dark",taken by bad,f flow + u the extreme + t mark. Flowing to the
mir,bright,"derived, strong","Good and bad, bright and dark",illegal: no_blurred_rhyme,m glow + i bright + r radiate. The radiant glow.
ram,dark,"derived, strong","Good and bad, bright and dark",taken by dark,"the mirror of mir. The un-glow, the gathered-in dim."
bid,connect,hand made,The link and its flow,taken by ignorant,b bring + i + d form. Bring two into one form.
nuq,bond,hand made,The link and its flow,taken by bond,n thread + u deep + q continuum. The deep continuous
fum,fill / receive,"derived, strong",The link and its flow,"in system, free",f flow + u inward + m gather. The inward
yar,will / project,"derived, strong",The link and its flow,taken by year,"y self, will + a + r out-motion. The self"
tiv,absorb,hand made,The link and its flow,taken by conscious,t take + i + v vibe. Actively take vibe in.
tuv,input,hand made,The link and its flow,taken by input (computing),t take + u inward + v vibe. Vibe received within.
vit,output,hand made,The link and its flow,taken by information,v vibe + i out + t step. Vibe stepped outward.
wug,emanate,hand made,The link and its flow,taken by emanate,w outward weave + u + g generate. Generate outward
wig,mesh / kaleidoscope,hand made,"The mesh, flow, and motion",taken by kaleidoscope,w weave + i + g generate. The generated
niq,flow,hand made,"The mesh, flow, and motion",taken by omniscient,n thread + i moving + q continuum. The moving
jil,stream,hand made,"The mesh, flow, and motion",illegal: no_blurred_rhyme,j smooth flow + i + l line. The flowing line.
luj,drive,hand made,"The mesh, flow, and motion",taken by logic,l line + u deep + j flow. Deep flowing momentum.
